order_id,customer_email,action,action_time
1ec91ee6-1ff0-11ed-81ce-0242ac110004,bonillageorge@yahoo.com,created,2022-08-19T18:52:48Z
1e7c15c4-1ff0-11ed-81ce-0242ac110004,norrisdiamond@yahoo.com,created,2022-08-19T18:52:48Z
1ee95864-1ff0-11ed-81ce-0242ac110004,cynthiafitzgerald@yahoo.com,created,2022-08-19T18:52:48Z
1ed797dc-1ff0-11ed-81ce-0242ac110004,rjoseph@gmail.com,created,2022-08-19T18:52:48Z
1e5abd70-1ff0-11ed-81ce-0242ac110004,smithgeorge@hotmail.com,created,2022-08-19T18:52:48Z
1e9347d0-1ff0-11ed-81ce-0242ac110004,tsmith@hotmail.com,created,2022-08-19T18:52:48Z
1ec52afc-1ff0-11ed-81ce-0242ac110004,michael83@yahoo.com,created,2022-08-19T18:52:48Z
1ea422d0-1ff0-11ed-81ce-0242ac110004,veronica51@hotmail.com,created,2022-08-19T18:52:48Z
1eacd60a-1ff0-11ed-81ce-0242ac110004,brianpalmer@gmail.com,created,2022-08-19T18:52:48Z
1e9c2314-1ff0-11ed-81ce-0242ac110004,robin23@yahoo.com,created,2022-08-19T18:52:48Z
